Building Number,Building Name,Building,State,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total,Overall Satisfaction,Occupancy,Building Sq Ft,Zip Code,Zip
TX0435HF,1 Justice Park Drive,TX0435HF-1 Justice Park Drive,TX,478197.46,558210.13,496987.01,1533394.60,5,590,283967,77092-1900,77092
IN0300ZZ,U.S. Courthouse,IN0300ZZ-U.S. Courthouse,IN,679037.42,331611.91,522135.06,1532784.39,5,164,233692,46320-1840,46320
NY0281ZZ,James M Hanley Fb,NY0281ZZ-James M Hanley Fb,NY,497737.39,440942.90,585311.02,1523991.31,3,481,294083,13261-6100,13261
AK0013ZZ,Hurff A. Saunders Fb,AK0013ZZ-Hurff A. Saunders Fb,AK,562040.54,473583.56,475997.31,1511621.41,4,400,284072,99801-1807,99801
WA0953KC,Fed Ctr So Office,WA0953KC-Fed Ctr So Office,WA,546583.88,579067.55,382431.91,1508083.34,5,179,413214,98134-2388,98134
MD0205ZZ,Ss Metro Center 1,MD0205ZZ-Ss Metro Center 1,MD,412148.79,551666.64,540431.72,1504247.15,4,400,16820,20910-3225,20910
TX0298ZZ,Gt Leland Federal Bl,TX0298ZZ-Gt Leland Federal Bl,TX,474903.00,361789.37,662408.81,1499101.18,3,900,346667,77002-8049,77002
NY0371ZZ,Robert H Jackson Us,NY0371ZZ-Robert H Jackson Us,NY,502678.48,615571.44,377522.83,1495772.75,3,140,231833,14202-3350,14202
NE0036ZZ,Hruska Us Courthouse,NE0036ZZ-Hruska Us Courthouse,NE,544216.01,529593.96,419305.35,1493115.32,4,130,286610,68102-1300,68102
NM0050ZZ,Pete Domenici Courth,NM0050ZZ-Pete Domenici Courth,NM,443194.67,419333.23,623736.81,1486264.71,4,216,257711,87102-2272,87102
CA0273ZZ,Glenn M Anderson Fed,CA0273ZZ-Glenn M Anderson Fed,CA,432826.61,426063.68,625272.05,1484162.34,4,550,235346,00009-0802,00009
MS0083ZZ,Dr. A. H. Mc Coy Fb,MS0083ZZ-Dr. A. H. Mc Coy Fb,MS,595246.00,305336.64,579698.53,1480281.17,4,600,370031,39269-1602,39269
IL0311ZZ,Stanley J. Roszkowsk,IL0311ZZ-Stanley J. Roszkowsk,IL,653857.32,240008.24,585590.85,1479456.41,5,75,211414,61101-0000,61101
TN0004ZZ,Howard Baker Jr Cths,TN0004ZZ-Howard Baker Jr Cths,TN,556028.76,472702.43,445318.56,1474049.75,5,275,310606,37902-2327,37902
CA0260ZZ,Robert F. Peckham Fb,CA0260ZZ-Robert F. Peckham Fb,CA,448959.65,235775.68,782130.12,1466865.45,3,280,231455,95113-3002,95113
TX0397ZZ,New Austin Courthous,TX0397ZZ-New Austin Courthous,TX,352870.24,444300.49,652931.32,1450102.05,4,130,189231,78701-3822,78701
NM0030ZZ,D Chavez Federal Bld,NM0030ZZ-D Chavez Federal Bld,NM,539780.42,410282.27,498782.73,1448845.42,3,514,310862,87102-3118,87102
AL0003AC,Frank Johnson Annex,AL0003AC-Frank Johnson Annex,AL,437721.30,593334.20,414622.87,1445678.37,4,180,262016,36104-4056,36104
NY0304ZZ,Kenneth B Keating Fb,NY0304ZZ-Kenneth B Keating Fb,NY,379327.26,564718.75,479511.86,1423557.87,2,200,235373,14614-1350,14614
OR0043ZZ,E.Green - W.Wyatt Fb,OR0043ZZ-E.Green - W.Wyatt Fb,OR,679466.60,297676.48,442078.42,1419221.50,3,412,372461,97204-2825,97204
NC0113ZZ,Hiram H. Ward Fb & C,NC0113ZZ-Hiram H. Ward Fb & C,NC,648387.65,293543.06,473708.80,1415639.51,2,650,226363,27101-3914,27101
WA0063ZZ,Fed Bldg Uspo & Ch,WA0063ZZ-Fed Bldg Uspo & Ch,WA,796294.97,248783.09,370383.14,1415461.20,4,500,343582,99352-3589,99352
CO0627AA,Dfc Bldg 67,CO0627AA-Dfc Bldg 67,CO,604034.32,266597.36,544323.56,1414955.24,1,775,342722,80225-0546,80225
TN0052AA,E Kefauver Fed Bldg,TN0052AA-E Kefauver Fed Bldg,TN,504369.39,524485.90,375474.70,1404329.99,4,1338,291971,37203-3816,37203
KS0094ZZ,Robert J. Dole Us Ct,KS0094ZZ-Robert J. Dole Us Ct,KS,428377.96,489650.22,481667.08,1399695.26,4,245,238040,66101-2448,66101
KY0045ZZ,Gene Snyder Usct-Cu,KY0045ZZ-Gene Snyder Usct-Cu,KY,710922.28,342659.11,327413.73,1380995.12,3,375,361991,40202-2238,40202
SC0010ZZ,Matthew Perry Usct,SC0010ZZ-Matthew Perry Usct,SC,409772.49,510363.61,456015.22,1376151.32,1,52,182058,29201-2328,29201
IL0032ZZ,Customhouse,IL0032ZZ-Customhouse,IL,492872.41,183653.97,687027.17,1363553.55,2,250,247309,60607-4523,60607
VA0578ZZ,Spottswood W. Robins,VA0578ZZ-Spottswood W. Robins,VA,651438.53,327057.92,363470.70,1341967.15,5,223,220669,23219-0000,23219
CO0009ZZ,Byron White Us Crths,CO0009ZZ-Byron White Us Crths,CO,320778.15,439555.53,540761.50,1301095.18,4,80,234998,80202-2505,80202
NY0395CB,Cargo Building,NY0395CB-Cargo Building,NY,745010.69,362471.99,190396.75,1297879.43,4,90,80795,12919-4440,12919
CO0511AA,Dfc Bldg 20,CO0511AA-Dfc Bldg 20,CO,381097.09,39389.53,861880.05,1282366.67,3,300,389299,80225-0546,80225
PR0003ZZ,Jose V. Toledo Fb &,PR0003ZZ-Jose V. Toledo Fb &,PR,395904.94,325055.28,559947.72,1280907.94,5,65,93095,00901-0000,00901
NY0323ZZ,Silvio V Mollo Fb,NY0323ZZ-Silvio V Mollo Fb,NY,617650.51,331582.67,329827.09,1279060.27,4,300,133800,10007-1701,10007
MD0068ZZ,Ssa Metro West,MD0068ZZ-Ssa Metro West,MD,74938.32,465372.52,728966.79,1269277.63,2,1800,899892,21201-1581,21201
MD0334ZZ,Harvey W. Wiley Fede,MD0334ZZ-Harvey W. Wiley Fede,MD,292204.17,930534.30,44421.28,1267159.75,3,600,388500,20740-0000,20740
NC0002AE,Veach-Baley Federal,NC0002AE-Veach-Baley Federal,NC,373593.30,554445.96,337599.84,1265639.10,4,434,240520,28801-2638,28801
